country;ruler_name;regnal_number;reign_start_year;reign_end_year;birth_year;death_year;age_uncertainty_note;reign_uncertian_note;;
Denmark;Gorm;1;NA;958;NA;958;Yes;Yes;;
Denmark;Harald;1;NA;987;NA;987;Yes;Yes;;
Denmark;Svend;1;NA;1014;NA;1014;Yes;Yes;;
Denmark;Harald;2;1014;1018;NA;1018;Yes;No;;
Denmark;Knud;1;1018;1035;NA;1035;Yes;No;;
Denmark;Hardeknud;1;1035;1042;1020;1042;No;No;;
Denmark;Magnus;1;1042;1047;1024;1047;No;No;;
Denmark;Svend;2;1047;1074;NA;1076;Yes;No;;
Denmark;Harald;3;1074;1080;NA;1080;Yes;No;;
Denmark;Knud;2;1080;1086;NA;1086;Yes;No;;
Denmark;Oluf;1;1086;1095;NA;1095;Yes;No;;
Denmark;Erik;1;1095;1103;1056;1103;Yes;No;;
Denmark;Niels;1;1104;1134;NA;1134;Yes;No;;
Denmark;Erik;2;1134;1137;NA;1137;Yes;No;;
Denmark;Erik;3;1137;1146;NA;1146;Yes;No;;
Denmark;Svend;3;1146;1157;NA;1157;Yes;Yes;;
Denmark;Knud;3;1146;1157;NA;1157;Yes;Yes;;
Denmark;Valdemar;1;1146;1182;1131;1182;No;Yes;;
Denmark;Knud;4;1182;1202;1163;1202;No;No;;
Denmark;Valdemar;2;1202;1241;1170;1241;No;No;;
Denmark;Erik;4;1241;1250;1216;1250;No;No;;
Denmark;Abel;1;1250;1252;1218;1252;Yes;No;;
Denmark;Christoffer;1;1252;1259;1219;1259;No;No;;
Denmark;Erik;5;1259;1286;1249;1286;No;No;;
Denmark;Erik;6;1286;1319;1274;1319;No;No;;
Denmark;Christoffer;2;1319;1326;1276;1332;No;No;;
Denmark;Valdemar;3;1326;1329;1314;1330;Yes;No;;
Denmark;Christoffer;2;1329;1332;1276;1332;No;No;;
Denmark;Interregnum;NA;1332;1340;NA;NA;No;No;;
Denmark;Valdemar;4;1340;1375;1320;1375;Yes;No;;
Denmark;Oluf;2;1375;1387;1370;1387;No;No;;
Denmark;Margrete;1;1387;1396;1353;1412;No;No;;
Denmark;Erik;7;1396;1439;1382;1459;Yes;No;;
Denmark;Christoffer;3;1440;1448;1416;1448;No;No;;
Denmark;Christian;1;1448;1481;1426;1481;No;No;;
Denmark;Hans;1;1482;1513;1455;1513;No;No;;
Denmark;Christian;2;1513;1523;1481;1559;No;No;;
Denmark;Frederik;1;1523;1533;1471;1533;No;No;;
Denmark;Interregnum;NA;1533;1536;NA;NA;No;No;;
Denmark;Christian;3;1536;1559;1503;1559;No;No;;
Denmark;Frederik;2;1559;1588;1534;1588;No;No;;
Denmark;Christian;4;1588;1648;1577;1648;No;No;;
Denmark;Frederik;3;1648;1670;1609;1670;No;No;;
Denmark;Christian;5;1670;1699;1646;1699;No;No;;
Denmark;Frederik;4;1699;1730;1671;1730;No;No;;
Denmark;Christian;6;1730;1746;1699;1746;No;No;;
Denmark;Frederik;5;1746;1766;1723;1766;No;No;;
Denmark;Christian;7;1766;1808;1749;1808;No;No;;
Denmark;Frederik;6;1808;1839;1768;1839;No;No;;
Denmark;Christian;8;1839;1849;1786;1848;No;No;;
Denmark;Frederik;7;1848;1863;1808;1863;No;No;;
Denmark;Christian;9;1863;1906;1818;1906;No;No;;
Denmark;Frederik;8;1906;1912;1843;1912;No;No;;
Denmark;Christian;10;1912;1947;1870;1947;No;No;;
Denmark;Frederik;9;1947;1972;1899;1972;No;No;;
Denmark;Margrethe;2;1972;2024;1940;2026;No;No;;
Denmark;Frederik;10;2024;2026;1968;2026;No;Yes;;
;;;;;;;;;;
